행정동코드,시도명,시군구명,읍면동명
11110515,서울특별시,종로구,청운효자동
11110530,서울특별시,종로구,사직동
11110540,서울특별시,종로구,삼청동
11110550,서울특별시,종로구,부암동
11110560,서울특별시,종로구,평창동
11110570,서울특별시,종로구,무악동
11110580,서울특별시,종로구,교남동
11110600,서울특별시,종로구,가회동
11110615,서울특별시,종로구,종로1.2.3.4가동
11110630,서울특별시,종로구,종로5.6가동
11110640,서울특별시,종로구,이화동
11110650,서울특별시,종로구,혜화동
11110670,서울특별시,종로구,창신제1동
11110680,서울특별시,종로구,창신제2동
11110690,서울특별시,종로구,창신제3동
11110700,서울특별시,종로구,숭인제1동
11110710,서울특별시,종로구,숭인제2동
11140520,서울특별시,중구,소공동
11140540,서울특별시,중구,회현동
11140550,서울특별시,중구,명동
11140570,서울특별시,중구,필동
11140580,서울특별시,중구,장충동
11140590,서울특별시,중구,광희동
11140605,서울특별시,중구,을지로동
11140615,서울특별시,중구,신당동
11140625,서울특별시,중구,다산동
11140635,서울특별시,중구,약수동
11140645,서울특별시,중구,청구동
11140650,서울특별시,중구,신당제5동
11140665,서울특별시,중구,동화동
11140670,서울특별시,중구,황학동
11140680,서울특별시,중구,중림동
11170510,서울특별시,용산구,후암동
11170520,서울특별시,용산구,용산2가동
11170530,서울특별시,용산구,남영동
11170555,서울특별시,용산구,청파동
11170560,서울특별시,용산구,원효로제1동
11170570,서울특별시,용산구,원효로제2동
11170580,서울특별시,용산구,효창동
11170590,서울특별시,용산구,용문동
11170625,서울특별시,용산구,한강로동
11170630,서울특별시,용산구,이촌제1동
11170640,서울특별시,용산구,이촌제2동
11170650,서울특별시,용산구,이태원제1동
11170660,서울특별시,용산구,이태원제2동
11170685,서울특별시,용산구,한남동
11170690,서울특별시,용산구,서빙고동
11170700,서울특별시,용산구,보광동
11200520,서울특별시,성동구,왕십리제2동
11200535,서울특별시,성동구,왕십리도선동
11200540,서울특별시,성동구,마장동
11200550,서울특별시,성동구,사근동
11200560,서울특별시,성동구,행당제1동
11200570,서울특별시,성동구,행당제2동
11200580,서울특별시,성동구,응봉동
11200590,서울특별시,성동구,금호1가동
11200615,서울특별시,성동구,금호2.3가동
11200620,서울특별시,성동구,금호4가동
11200645,서울특별시,성동구,옥수동
11200650,서울특별시,성동구,성수1가제1동
11200660,서울특별시,성동구,성수1가제2동
11200670,서울특별시,성동구,성수2가제1동
11200690,서울특별시,성동구,성수2가제3동
11200720,서울특별시,성동구,송정동
11200790,서울특별시,성동구,용답동
11215710,서울특별시,광진구,화양동
11215730,서울특별시,광진구,군자동
11215740,서울특별시,광진구,중곡제1동
11215750,서울특별시,광진구,중곡제2동
11215760,서울특별시,광진구,중곡제3동
11215770,서울특별시,광진구,중곡제4동
11215780,서울특별시,광진구,능동
11215810,서울특별시,광진구,광장동
11215820,서울특별시,광진구,자양제1동
11215830,서울특별시,광진구,자양제2동
11215840,서울특별시,광진구,자양제3동
11215847,서울특별시,광진구,자양제4동
11215850,서울특별시,광진구,구의제1동
11215860,서울특별시,광진구,구의제2동
11215870,서울특별시,광진구,구의제3동
11230536,서울특별시,동대문구,용신동
11230545,서울특별시,동대문구,제기동
11230560,서울특별시,동대문구,전농제1동
11230570,서울특별시,동대문구,전농제2동
11230600,서울특별시,동대문구,답십리제1동
11230610,서울특별시,동대문구,답십리제2동
11230650,서울특별시,동대문구,장안제1동
11230660,서울특별시,동대문구,장안제2동
11230705,서울특별시,동대문구,청량리동
11230710,서울특별시,동대문구,회기동
11230720,서울특별시,동대문구,휘경제1동
11230730,서울특별시,동대문구,휘경제2동
11230740,서울특별시,동대문구,이문제1동
11230750,서울특별시,동대문구,이문제2동
11260520,서울특별시,중랑구,면목제2동
11260540,서울특별시,중랑구,면목제4동
11260550,서울특별시,중랑구,면목제5동
11260565,서울특별시,중랑구,면목본동
11260570,서울특별시,중랑구,면목제7동
11260575,서울특별시,중랑구,면목제3.8동
11260580,서울특별시,중랑구,상봉제1동
11260590,서울특별시,중랑구,상봉제2동
11260600,서울특별시,중랑구,중화제1동
11260610,서울특별시,중랑구,중화제2동
11260620,서울특별시,중랑구,묵제1동
11260630,서울특별시,중랑구,묵제2동
11260655,서울특별시,중랑구,망우본동
11260660,서울특별시,중랑구,망우제3동
11260680,서울특별시,중랑구,신내1동
11260690,서울특별시,중랑구,신내2동
11290525,서울특별시,성북구,성북동
11290555,서울특별시,성북구,삼선동
11290575,서울특별시,성북구,동선동
11290580,서울특별시,성북구,돈암제1동
11290590,서울특별시,성북구,돈암제2동
11290600,서울특별시,성북구,안암동
11290610,서울특별시,성북구,보문동
11290620,서울특별시,성북구,정릉제1동
11290630,서울특별시,성북구,정릉제2동
11290640,서울특별시,성북구,정릉제3동
11290650,서울특별시,성북구,정릉제4동
11290660,서울특별시,성북구,길음제1동
11290685,서울특별시,성북구,길음제2동
11290705,서울특별시,성북구,종암동
11290715,서울특별시,성북구,월곡제1동
11290725,서울특별시,성북구,월곡제2동
11290760,서울특별시,성북구,장위제1동
11290770,서울특별시,성북구,장위제2동
11290780,서울특별시,성북구,장위제3동
11290810,서울특별시,성북구,석관동
11305534,서울특별시,강북구,삼양동
11305535,서울특별시,강북구,미아동
11305545,서울특별시,강북구,송중동
11305555,서울특별시,강북구,송천동
11305575,서울특별시,강북구,삼각산동
11305595,서울특별시,강북구,번1동
11305603,서울특별시,강북구,번2동
11305608,서울특별시,강북구,번3동
11305615,서울특별시,강북구,수유1동
11305625,서울특별시,강북구,수유2동
11305635,서울특별시,강북구,수유3동
11305645,서울특별시,강북구,우이동
11305660,서울특별시,강북구,인수동
11320511,서울특별시,도봉구,창제1동
11320512,서울특별시,도봉구,창제2동
11320513,서울특별시,도봉구,창제3동
11320514,서울특별시,도봉구,창제4동
11320515,서울특별시,도봉구,창제5동
11320521,서울특별시,도봉구,도봉제1동
11320522,서울특별시,도봉구,도봉제2동
11320660,서울특별시,도봉구,쌍문제1동
11320670,서울특별시,도봉구,쌍문제2동
11320680,서울특별시,도봉구,쌍문제3동
